FEED_NAME,FEED_ADDRESS,FEED_CATEGORY,FEED_ADDED,CREATED_BLOCK_NUMBER
SPELL / USD,0x8c110b94c5f1d347facf5e1e938ab2db60e3c9a8,Cryptocurrency (USD pairs),20-Oct-21,13448838
PLA / USD,0xbc535b134ddf81fc83254a3d0ed2c0c60144405e,Cryptocurrency (USD pairs),-,13500892
RAI / USD,0x483d36f6a1d063d580c7a24f9a42b346f3a69fbb,Stablecoins,13-Oct-21,13405713
AUD / USD,0x77f9710e7d0a19669a13c055f62cd80d313df022,Foreign Exchange,11-Dec-19,10606426
ANT / ETH,0x8f83670260f8f7708143b836a2a6f11ef0abac01,Cryptocurrency (ETH pairs),9-Nov-20,11206065
C98 / USD,0xe95cdc33e1f5bfe7eb26f45e29c6c9032b97db7f,Cryptocurrency (USD pairs),-,14263394
WMXN / ETH,0xe5dc0a609ab8bcf15d3f35cfaa1ff40f521173ea,Cryptocurrency (ETH pairs),-,11199298
CRO / ETH,0xca696a9eb93b81adfe6435759a29ab4cf2991a96,Cryptocurrency (ETH pairs),8-Sep-20,10862627
SAND / USD,0x35e3f7e558c04ce7eee1629258ecbba03b36ec56,Cryptocurrency (USD pairs),13-Apr-21,12232515
BRL / USD,0x971e8f1b779a5f1c36e1cd7ef44ba1cc2f5eee0f,Foreign Exchange,13-Apr-21,12233215
DOT / USD,0x1c07afb8e2b827c5a4739c6d59ae3a5035f28734,Cryptocurrency (USD pairs),24-Nov-20,11317200
UNI / USD,0x553303d460ee0afb37edff9be42922d8ff63220e,Cryptocurrency (USD pairs),24-Nov-20,11317271
BAT / USD,0x9441d7556e7820b5ca42082cfa99487d56aca958,Cryptocurrency (USD pairs),21-Apr-21,12277872
BAND / ETH,0x0bdb051e10c9718d1c29efbad442e88d38958274,Cryptocurrency (ETH pairs),11-Feb-21,11832332
wBTC / BTC,0xfdfd9c85ad200c506cf9e21f1fd8dd01932fbb23,Cryptocurrency (Other),-,14482355
YFI / USD,0xa027702dbb89fbd58938e4324ac03b58d812b0e1,Cryptocurrency (USD pairs),24-Nov-20,11317295
VGX / ETH,0x5dd1c4a1acfc3f83446cfe79cb0660bb07f76513,Cryptocurrency (ETH pairs),-,14077114
TRIBE / ETH,0x84a24deca415acc0c395872a9e6a63e27d6225c8,Cryptocurrency (ETH pairs),31-May-21,12542915
BNB / ETH,0xc546d2d06144f9dd42815b8ba46ee7b8fcafa4a2,Cryptocurrency (ETH pairs),9-Dec-20,11414214
CAKE / USD,0xeb0adf5c06861d6c07174288ce4d0a8128164003,Cryptocurrency (USD pairs),-,14482026
FOX / USD,0xcca02ffeface21325befd6616cb4ba5fcb047480,Cryptocurrency (USD pairs),17-Dec-21,13804469
OCEAN / USD,0x7ece4e4e206ed913d991a074a19c192142726797,Cryptocurrency (USD pairs),18-May-21,12460526
GBP / USD,0x5c0ab2d9b5a7ed9f470386e82bb36a3613cdd4b5,Foreign Exchange,11-Dec-19,10606426
ETH / XDR,0xb022e2970b3501d8d83ed07912330d178543c1eb,Cryptocurrency (Other),15-Jun-20,10606427
TUSD Reserves,0x478f4c42b877c697c4b19e396865d4d533ecb6ea,Proof of Reserve,30-Oct-20,11153057
