POOL_ADDRESS,TOKEN_ADDRESS,TOKEN_INDEX,TOKEN_SYMBOL,TOKEN_DECIMALS,TOKEN_NAME,POOL_NAME,POOL_ID,_INSERTED_TIMESTAMP
0x46f5ab27914a670cfe260a2dedb87f84c264835f,0xe7d18f2507869280111025f4938376846e8ad11a,0,RC_xRULER_15_DAI_2021_6_30,18,Ruler Protocol rToken,Curve.fi Pool: RC_xRULER_15_DAI_2021_6_30-3Crv ,0x46f5ab27914a670cfe260a2dedb87f84c264835f0xe7d18f2507869280111025f4938376846e8ad11a,2022-09-27T16:44:04Z
0xc0ec468c1b6b94a107b0a83c7a0f6529b388f43a,0xe661493a2f94cca7f0a7c0566290f9c12e69bd52,0,,,,Curve.fi Pool: 3Crv ,0xc0ec468c1b6b94a107b0a83c7a0f6529b388f43a0xe661493a2f94cca7f0a7c0566290f9c12e69bd52,2022-10-14T06:25:29Z
0xd6b03059c882f63268dd3e1a98d8e3cdee26919c,0xe661493a2f94cca7f0a7c0566290f9c12e69bd52,0,,,,Curve.fi Pool: 3Crv ,0xd6b03059c882f63268dd3e1a98d8e3cdee26919c0xe661493a2f94cca7f0a7c0566290f9c12e69bd52,2022-10-13T22:23:58Z
0x28b0cf1bafb707f2c6826d10caf6dd901a6540c5,0xe5c987f93734cb44ab03f1b18e30a374254891b6,0,UZD,18,UZD Zunami Stable,Curve.fi Pool: UZD-3Crv ,0x28b0cf1bafb707f2c6826d10caf6dd901a6540c50xe5c987f93734cb44ab03f1b18e30a374254891b6,2022-10-05T12:23:03Z
0xda3028f415374de92cd5a7c64f865a6b1aabf804,0xe44c86c6d52773175d5f6f1fa97219d21f09e0d5,0,RC_WETH_1900_DAI_2021_5_31,18,Ruler Protocol rToken,Curve.fi Pool: RC_WETH_1900_DAI_2021_5_31-3Crv ,0xda3028f415374de92cd5a7c64f865a6b1aabf8040xe44c86c6d52773175d5f6f1fa97219d21f09e0d5,2022-09-27T16:44:04Z
0x8474ddbe98f5aa3179b3b3f5942d724afcdec9f6,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0,mUSD,18,mStable USD,Curve.fi Pool: mUSD-3Crv ,0x8474ddbe98f5aa3179b3b3f5942d724afcdec9f60xe2f2a5c287993345a840db3b0845fbc70f5935a5,2022-08-28T16:56:46Z
0x803a2b40c5a9bb2b86dd630b274fa2a9202874c2,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0,mUSD,18,mStable USD,Curve.fi Pool: mUSD-3Crv ,0x803a2b40c5a9bb2b86dd630b274fa2a9202874c20xe2f2a5c287993345a840db3b0845fbc70f5935a5,2022-08-28T17:28:08Z
0x78cf256256c8089d68cde634cf7cdefb39286470,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0,mUSD,18,mStable USD,Curve.fi Pool: mUSD-3Crv ,0x78cf256256c8089d68cde634cf7cdefb392864700xe2f2a5c287993345a840db3b0845fbc70f5935a5,2022-08-28T16:56:46Z
0x87ca9ac842905628a83df72a23aa480091bb682e,0xe1406825186d63980fd6e2ec61888f7b91c4bae4,0,VBTC,18,Strudel BTC,Curve.fi Pool: VBTC-crvRenWSBTC ,0x87ca9ac842905628a83df72a23aa480091bb682e0xe1406825186d63980fd6e2ec61888f7b91c4bae4,2022-09-27T16:44:04Z
0x148a88719ba0b34f16e0f5a7537da73bdc9c2a2a,0xe1406825186d63980fd6e2ec61888f7b91c4bae4,0,VBTC,18,Strudel BTC,Curve.fi Pool: VBTC-crvRenWSBTC ,0x148a88719ba0b34f16e0f5a7537da73bdc9c2a2a0xe1406825186d63980fd6e2ec61888f7b91c4bae4,2022-09-27T16:44:04Z
0xdcb5be55674cec407d8a6d28ae2098feddf2c296,0xe1406825186d63980fd6e2ec61888f7b91c4bae4,0,VBTC,18,Strudel BTC,Curve.fi Pool: VBTC-crvRenWSBTC ,0xdcb5be55674cec407d8a6d28ae2098feddf2c2960xe1406825186d63980fd6e2ec61888f7b91c4bae4,2022-09-27T16:44:04Z
0x0e8b7d2663bcc704e24408bc13eeec69fce7f0f2,0xe1406825186d63980fd6e2ec61888f7b91c4bae4,0,VBTC,18,Strudel BTC,Curve.fi Pool: VBTC-crvRenWSBTC ,0x0e8b7d2663bcc704e24408bc13eeec69fce7f0f20xe1406825186d63980fd6e2ec61888f7b91c4bae4,2022-09-27T16:44:04Z
0x9ba0d29fc053abffd80826ddcd13bae275423aab,0xe14026c2f4edd463791da1991c74cf16975942f6,0,,,,Curve.fi Pool: 3Crv ,0x9ba0d29fc053abffd80826ddcd13bae275423aab0xe14026c2f4edd463791da1991c74cf16975942f6,2022-09-27T16:44:04Z
0x296b9fa08cf80138dfa6c3fcce497152662bc314,0xe14026c2f4edd463791da1991c74cf16975942f6,0,,,,Curve.fi Pool: 3Crv ,0x296b9fa08cf80138dfa6c3fcce497152662bc3140xe14026c2f4edd463791da1991c74cf16975942f6,2022-09-27T16:44:04Z
0x7472764c28f843ba246f294c44de9456911a3454,0xdfdb7f72c1f195c5951a234e8db9806eb0635346,1,NFD,18,Feisty Doge NFT,Curve.fi Pool: WETH-NFD ,0x7472764c28f843ba246f294c44de9456911a34540xdfdb7f72c1f195c5951a234e8db9806eb0635346,2022-09-27T16:44:04Z
0xaf7c2fb62ea78bd5be98f716de55b480c354f17b,0xdfb2c2222b305efca2e414083cf42318d442ab9f,0,RC_RAI_2_DAI_2021_5_31,18,Ruler Protocol rToken,Curve.fi Pool: RC_RAI_2_DAI_2021_5_31-3Crv ,0xaf7c2fb62ea78bd5be98f716de55b480c354f17b0xdfb2c2222b305efca2e414083cf42318d442ab9f,2022-09-27T16:44:04Z
0x3ef6a01a0f81d6046290f3e2a8c5b843e738e604,0xdf574c24545e5ffecb9a659c229253d4111d87e1,0,HUSD,8,HUSD,Curve.fi Pool: HUSD-3Crv ,0x3ef6a01a0f81d6046290f3e2a8c5b843e738e6040xdf574c24545e5ffecb9a659c229253d4111d87e1,2022-08-28T16:56:46Z
0x09672362833d8f703d5395ef3252d4bfa51c15ca,0xdf574c24545e5ffecb9a659c229253d4111d87e1,0,HUSD,8,HUSD,Curve.fi Pool: HUSD-3Crv ,0x09672362833d8f703d5395ef3252d4bfa51c15ca0xdf574c24545e5ffecb9a659c229253d4111d87e1,2022-08-28T17:28:08Z
