atoken_symbol,atoken_address,atoken_stable_debt_address,atoken_variable_debt_address,atoken_decimals,atoken_version,atoken_created_block,underlying_symbol,underlying_address,underlying_decimals,atoken_name,underlying_name
aAmmUniLINKWETH,0xb8db81b84d30e2387de0ff330420a4aaa6688134,0xeb32b3a1de9a1915d2b452b673c53883b9fa6a97,0xede4052ed8e1f422f4e5062c679f6b18693fecdc,18,amm,11998926,UNI-V2,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,18,Aave AMM Market UniLINKWETH,UniLINKWETH
aAmmUniMKRWETH,0x370adc71f67f581158dc56f539df5f399128ddf9,0x6e7e38bb73e19b62ab5567940caaa514e9d85982,0xf36c394775285f89bbbdf09533421e3e81e8447c,18,amm,11999054,UNI-V2,0xc2adda861f89bbb333c90c492cb837741916a225,18,Aave AMM Market UniMKRWETH,UniMKRWETH
aAmmUniRENWETH,0xa9e201a4e269d6cd5e9f0fcbcb78520cf815878b,0x312edeadf68e69a0f53518bf27eacd1abcc2897e,0x2a8d5b1c1de15bfcd5ec41368c0295c60d8da83c,18,amm,11999054,UNI-V2,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,18,Aave AMM Market UniRENWETH,UniRENWETH
aAmmUniSNXWETH,0x38e491a71291cd43e8de63b7253e482622184894,0xef62a0c391d89381ddf8a8c90ba772081107d287,0xfd15008efa339a2390b48d2e0ca8abd523b406d3,18,amm,11999054,UNI-V2,0x43ae24960e5534731fc831386c07755a2dc33d47,18,Aave AMM Market UniSNXWETH,UniSNXWETH
aAmmUniUNIWETH,0x3d26dcd840fcc8e4b2193ace8a092e4a65832f9f,0x6febce732191dc915d6fb7dc5fe3aefddb85bd1b,0x0d878fbb01fbeea7ddefb896d56f1d3167af919f,18,amm,11999054,UNI-V2,0xd3d2e2692501a5c9ca623199d38826e513033a17,18,Aave AMM Market UniUNIWETH,UniUNIWETH
aAmmUniUSDCWETH,0x391e86e2c002c70dee155eaceb88f7a3c38f5976,0xfab4c9775a4316ec67a8223ecd0f70f87ff532fc,0x26625d1ddf520fc8d975cc68ec6e0391d9d3df61,18,amm,11999061,UNI-V2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,18,Aave AMM Market UniUSDCWETH,UniUSDCWETH
aAmmUniWBTCUSDC,0x2365a4890ed8965e564b7e2d27c38ba67fec4c6f,0xc66bfa05cce646f05f71dee333e3229ce24bbb7e,0x36da0c5dc23397cbf9d13bbd74e93c04f99633af,18,amm,11999061,UNI-V2,0x004375dff511095cc5a197a54140a24efef3a416,18,Aave AMM Market UniWBTCUSDC,UniWBTCUSDC
aAmmUniYFIWETH,0x5394794be8b6ed5572fcd6b27103f46b5f390e8f,0x9b054b76d6de1c4892ba025456a9c4f9be5b1766,0xdf70bdf01a3ebcd0d918ff97390852a914a92df7,18,amm,11999061,UNI-V2,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,18,Aave AMM Market UniYFIWETH,UniYFIWETH
aAmmBptWBTCWETH,0x358bd0d980e031e23eba9aa793926857703783bd,0x46406ecd20fde1df4d80f15f07c434fa95cb6b33,0xf655df3832859cfb0acfd88edff3452b9aa6db24,18,amm,11999061,BPT,0x1eff8af5d577060ba4ac8a29a13525bb0ee2a3d5,18,Aave AMM Market BptWBTCWETH,BptWBTCWETH
aAmmBptBALWETH,0xd109b2a304587569c84308c55465cd9ff0317bfb,0x6474d116476b8eda1b21472a599ff76a829abcbb,0xf41a5cc7a61519b08056176d7b4b87ab34df55ad,18,amm,11999065,BPT,0x59a19d8c652fa0284f44113d0ff9aba70bd46fb4,18,Aave AMM Market BptBALWETH,BptBALWETH
aDPI,0x6f634c6135d2ebd550000ac92f494f9cb8183dae,0xa3953F07f389d719F99FC378ebDb9276177d8A6e,0x4dDff5885a67E4EffeC55875a3977D7E60F82ae0,18,v2,13070049,DPI,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,18,Aave Interest bearing DPI,DefiPulse Index
aPAX,0x2e8f4bdbe3d47d7d7de490437aea9915d930f1a3,0x2387119bc85A74e0BBcbe190d80676CB16F10D4F,0xFDb93B3b10936cf81FA59A02A7523B6e2149b2B7,18,v2,12895389,USDP,0x8e870d67f660d95d5be530380d0ec0bd388289e1,18,Aave Interest bearing USDP,Pax Dollar
aUST,0xc2e2152647f4c26028482efaf64b2aa28779efc4,0x7FDbfB0412700D94403c42cA3CAEeeA183F07B26,0xaf32001cf2E66C4C3af4205F6EA77112AA4160FE,6,v2,14386651,UST,0xa693b19d2931d498c5b318df961919bb4aee87a5,6,Aave Interest bearing UST,UST (Wormhole)
aENS,0x9a14e23a58edf4efdcb360f68cd1b95ce2081a2f,0x34441FFD1948E49dC7a607882D0c38Efd0083815,0x176808047cc9b7A2C9AE202c593ED42dDD7C0D13,18,v2,14338029,ENS,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,18,Aave Interest bearing ENS,Ethereum Name Service
a1INCH,0xb29130cbcc3f791f077eade0266168e808e5151e,0x1278d6ED804d59d2d18a5Aa5638DfD591A79aF0a,0xD7896C1B9b4455aFf31473908eB15796ad2295DA,18,v2,15245141,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,18,Aave Interest bearing 1INCH,1INCH Token
aRAI,0xc9bc48c72154ef3e5425641a3c747242112a46af,0x9C72B8476C33AE214ee3e8C20F0bc28496a62032,0xB5385132EE8321977FfF44b60cDE9fE9AB0B4e6b,18,v2,12664383,RAI,0x03ab458634910AaD20eF5f1C8ee96F1D6ac54919,18,Aave Interest bearing RAI,Rai Reflex Index
aAMPL,0x1e6bb68acec8fefbd87d192be09bb274170a0548,0x18152C9f77DAdc737006e9430dB913159645fa87,0xf013D90E4e4E3Baf420dFea60735e75dbd42f1e1,18,v2,12301900,AMPL,0xD46bA6D942050d489DBd938a2C909A5d5039A161,18,Aave Interest bearing AMPL,Ampleforth
aRENFIL,0x514cd6756ccbe28772d4cb81bc3156ba9d1744aa,0xcAad05C49E14075077915cB5C820EB3245aFb950,0x348e2eBD5E962854871874E444F4122399c02755,18,v2,12301900,renFIL,0xD5147bc8e386d91Cc5DBE72099DAC6C9b99276F5,18,Aave Interest bearing renFIL,renFIL
aCVX,0x952749e07d7157bb9644a894dfaf3bad5ef6d918,0xB01Eb1cE1Da06179136D561766fc2d609C5F55Eb,0x4Ae5E4409C6Dbc84A00f9f89e4ba096603fb7d50,18,v2,14956476,CVX,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,18,Aave Interest bearing CVX,Convex Token
aSTETH,0x1982b2f5814301d4e9a8b0201555376e62f82428,0x66457616Dd8489dF5D0AFD8678F4A260088aAF55,0xA9DEAc9f00Dc4310c35603FCD9D34d1A750f81Db,18,v2,14289297,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18,Aave Interest bearing stETH,Liquid staked Ether 2.0
aFEI,0x683923db55fead99a79fa01a27eec3cb19679cc3,0xd89cF9E8A858F8B4b31Faf793505e112d6c17449,0xC2e10006AccAb7B45D9184FcF5b7EC7763f5BaAe,18,v2,13264119,FEI,0x956f47f50a910163d8bf957cf5846d573e7f87ca,18,Aave Interest bearing FEI,Fei USD
aLUSD,0xce1871f791548600cb59efbefFC9c38719142079,0x39f010127274b2dBdB770B45e1de54d974974526,0x411066489AB40442d6Fc215aD7c64224120D33F2,18,v2,15435842,LUSD,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,18,Aave Interest bearing LUSD,LUSD Stablecoin 
aEthWETH,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,18,v3,16496792,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18,Aave Ethereum WETH,Wrapped Ether
aEthAAVE,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,0xa700b4eb416be35b2911fd5dee80678ff64ff6c9,18,v3,16496810,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18,Aave Ethereum AAVE,Aave Token
aEthDAI,0x018008bfb33d285247a21d44e50697654f754e63,0x018008bfb33d285247a21d44e50697654f754e63,0x018008bfb33d285247a21d44e50697654f754e63,18,v3,16496806,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18,Aave Ethereum DAI,Dai Stablecoin
aEthUSDC,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,6,v3,16496802,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6,Aave Ethereum USDC,USD Coin
aEthLINK,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a,0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a,18,v3,16496808,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18,Aave Ethereum LINK,ChainLink Token
aEthWBTC,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,8,v3,16496800,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8,Aave Ethereum WBTC,Wrapped BTC
aEthwstETH,0x0b925ed163218f6662a35e0f0371ac234f9e9371,0x0b925ed163218f6662a35e0f0371ac234f9e9371,0x0b925ed163218f6662a35e0f0371ac234f9e9371,18,v3,16496795,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18,Aave Ethereum wstETH,Wrapped liquid staked Ether 2.0
